Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean Depth [m],SD Depth [m],CV
80.0,17734466.0,11556572.0,0.651644766330719,0.2441728115081787,10189560.0,2488013.0,80.0,63.509703077915766,36.490296922084234,82.28479525443298,17.715083702621122,18.775092176517212,1.2594828993099725,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
90.0,15461073.0,10590041.0,0.6849486231803894,0.2771875560283661,12462953.0,3454575.0,90.0,55.3683519704501,44.63164802954989,75.40292704627728,24.597172636148752,20.034575075827185,0.8584086751116438,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
100.0,13168089.0,9500998.0,0.7215168476104736,0.30791741609573364,14755937.0,4543610.0,100.0,47.156842641530275,52.843157358469725,67.64875216827078,32.35129055276896,20.4919095267405,0.05619687991152489,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
110.00000000000001,10948424.0,8336155.0,0.7614023089408875,0.33627256751060486,16975602.0,5708429.0,110.00000000000001,39.20789931938897,60.79210068061103,59.354868155039206,40.64500368184161,20.146968835650235,-0.6963248384044647,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
120.0,8893083.0,7155259.0,0.8045870065689087,0.362007737159729,19030943.0,6889348.0,120.0,31.847424150084947,68.15257584991505,50.94668400001652,49.05335160084992,19.09925984993157,-1.3085714600431313,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
129.99999999999997,7077864.0,6021860.0,0.850801944732666,0.3848544955253601,20846162.0,8022739.0,129.99999999999997,25.346860800086635,74.65313919991337,42.87668671565061,57.12329192382952,17.529825915563972,-1.7135429428837323,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
140.0,5553612.0,4994326.0,0.8992933034896851,0.40456464886665344,22370414.0,9050279.0,140.0,19.888292612247245,80.11170738775274,35.56046657641135,64.43955478410851,15.672173964164106,-1.8931319029174025,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
150.0,4328598.0,4107330.0,0.9488824009895325,0.4211530387401581,23595428.0,9937286.0,150.0,15.501339240981943,84.49866075901807,29.24490135071111,70.75519833171492,13.743562109729167,-1.8990615543809932,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
160.0,3359889.0,3357545.0,0.9993025660514832,0.43506795167922974,24564137.0,10687069.0,160.0,12.032251366618839,87.96774863338116,23.90630222202096,76.0937832200585,11.87405085540212,-1.9768963983846914,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
169.99999999999997,2460875.0,2612650.0,1.0616751909255981,0.44896069169044495,25463151.0,11431954.0,169.99999999999997,8.812751427748992,91.18724857225101,18.602520740708776,81.39749349963779,9.789769312959784,-1.8253512687151794,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
179.99999999999997,1883587.0,2102301.0,1.116115927696228,0.4586067199707031,26040439.0,11942320.0,179.99999999999997,6.74539910541553,93.25460089458447,14.96874742338729,85.03138785990518,8.22334831797176,-1.4800852767211437,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
189.99999999999997,1429365.0,1678100.0,1.1740185022354126,0.46675369143486023,26494661.0,12366481.0,189.99999999999997,5.11876403495685,94.88123596504316,11.948362794474347,88.05148768188661,6.829598759517497,-1.2833670104848198,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
199.99999999999997,1086692.0,1341009.0,1.2340285778045654,0.47335484623908997,26837334.0,12703582.0,199.99999999999997,3.891602163670812,96.10839783632919,9.548216460672933,90.4517052174209,5.656614297002121,-1.1729844625153758,2018,Happy Valley,160.0,0.5029576420783997,0.27554312348365784,0.5478456020355225
