Meteorology Data Imnavait Met B Site 2015-2018 Last Updated EKY 6sept2018,,,,,,,,,,,,,,,,,,,,,,,,,
Flags,,,,,,,,,,,,,,,,,,,,,,,,,
"ICE-Ice affected stage, EST-Estimated discharge",,,,,,,,,,,,,,,,,,,,,,,,,
wt-avg is pressure transducer water temperature,,,,,,,,,,,,,,,,,,,,,,,,,
"6999-bad/missing, 7777-not collected",,,,,,,,,,,,,,,,,,,,,,,,,
see readme-20180412.txt for variable units and more information,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Chris Arp and Dr. Sveta Stuefer:,,,,,,,,,,,,,,,,,,,,,,,,,
cdarp@alaska.edu,,,,,,,,,,,,,,,,,,,,,,,,,
sveta.stuefer@alaska.edu,,,,,,,,,,,,,,,,,,,,,,,,,
"Water and Environmental Research Center, University of Alaska Fairbanks",,,,,,,,,,,,,,,,,,,,,,,,,
P.O. Box 755860,,,,,,,,,,,,,,,,,,,,,,,,,
"Fairbanks, Alaska 99775-5860",,,,,,,,,,,,,,,,,,,,,,,,,
907-474-2783,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"If you use any of the data presented in this website, we ask you to please reference the author in the following suggested format: ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Arp, C.D. and Stuefer, S. (year of retrieval). Climate data from the Terrestrial Environmental Observation Network (TEON), Arctic Landscape Conservation Cooperative. University of Alaska Fairbanks, Water and Environmental Research Center. ",,,,,,,,,,,,,,,,,,,,,,,,,
"URL: http://ine.uaf.edu/werc/research Fairbanks, Alaska, variously paged. [month and day of retrieval].",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
station_id,MM/DD/YYYY hh:mm:ss,precip_Tot,at_1m_Avg,rh_1m,at_3m_Avg,rh_3m,at_10m_Avg,rh_10m,windSpeed_1m,windSpeed_3m,windSpeed_10m,winddir_10m,windSpeed_1m_Max,windSpeed_3m_Max,windSpeed_10m_Max,pb_Avg,netRad_Avg,snowdepth_Avg,atm_lw_rad_avg,terr_lw_rad_avg,inc_sw_rad_avg,refl_sw_rad_avg,at_2m_Avg,rh_2m,winddir_3m
Imnavait_Cr_Met,1/1/2017 1:00,7777,-3.452,82.8,-3.353,80.4,-3.027,77.33,7.1,8.29,9.45,178.6,8.73,10.05,11.73,1002,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 2:00,7777,-1.754,70.72,-1.509,67.7,-0.975,59.9,7.007,8.25,9.58,179.3,8.26,9.61,11.25,1002,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 3:00,7777,0.288,59.97,0.664,56.4,1.44,49.08,5.768,6.907,8.23,193.1,7.674,9.14,10.82,1002,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 4:00,7777,-0.253,72.47,0.136,66.35,1.002,59.16,7.138,8.5,10.06,186.5,8.67,10.33,11.91,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 5:00,7777,-0.319,72.61,0.063,67.76,0.88,58.42,7.452,8.89,10.51,188.4,8.57,10.38,12.19,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 6:00,7777,0,64.87,0.397,62.79,1.194,58.22,7.006,8.38,9.96,190.1,9.02,10.93,12.73,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 7:00,7777,0.819,67.7,1.178,64.2,1.888,57.14,6.122,7.314,8.6,190.8,8.18,10.11,12.27,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 8:00,7777,-0.589,79.06,-0.248,74.49,0.482,66.55,8.09,9.74,11.49,192.8,10.21,12.25,14.38,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 9:00,7777,-0.855,72.67,-0.469,66.29,0.326,56.94,8.19,9.85,11.69,189.2,9.55,11.31,13.3,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 10:00,7777,-0.827,74.35,-0.441,69.58,0.403,62.32,7.905,9.52,11.29,191.5,9.1,10.97,12.87,1002,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 11:00,7777,-1.974,80,-1.612,75.43,-0.878,68.91,9.77,11.75,13.76,190,10.79,13.27,15.52,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 12:00,7777,-2.722,81,-2.396,76.4,-1.717,67.92,10.87,13.16,15.27,194.9,12.61,15.29,17.83,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 13:00,7777,-2.328,82.3,-1.964,77.58,-1.217,72.74,10.41,12.61,14.76,191.4,12.78,15.35,17.91,1002,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 14:00,7777,-2.088,83.3,-1.751,78.92,-1.108,73.55,10.15,12.17,14.11,186.5,12.42,14.66,17.35,1002,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 15:00,7777,-1.95,79.46,-1.5,72.67,-0.67,66.02,11.46,13.95,16.38,198.6,12.63,15.35,18.09,1001,7777,7777,7777,7777,7777,7777,7777,7777,7777
Imnavait_Cr_Met,1/1/2017 16:00,7777,-2.395,82,-1.901,76.52,-1.017,67.38,11.33,13.93,16.4,201.5,13.06,15.9,18.46,1000,7777,7777,7777,7777,7777,7777,7777,7777,7777
